,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
energy1,1173.0,1332.0,511.0,1264.5,661.65,1115.53,122.0,136.0,834.84,88.03,22.16,53.16,80.9,276.39,302.85,356.0,383.85
energy2,1172.178774958796,1331.1191759270268,511.6182153095276,1273.154241438262,660.0645989500011,1111.5907159986061,123.94999037161337,138.25080715984868,832.317571547839,90.97489885606618,25.121823677038382,56.22513246025539,83.93645051570515,279.5494282825504,305.9812999168479,359.2004415121926,387.0853474850225
